Odia,English
ହସ୍ପିଟାଲରେ ଡାକ୍ତରଙ୍କ ଆପଏଣ୍ଟମେଣ୍ଟ କିପରି ବୁକ୍ କରିବି?,How can I book a doctor's appointment at the hospital?
ରୋଗୀ ଭର୍ତ୍ତି ପାଇଁ କେଉଁ ଡକ୍ୟୁମେଣ୍ଟ ଦରକାର?,What documents are required for patient admission?
ଜରୁରୀକାଳୀନ ସେବା କେଉଁ ବିଭାଗରେ ମିଳିବ?,Which department provides emergency services?
ବ୍ଲଡ୍ ଟେଷ୍ଟ ପାଇଁ କେତେ ଫିସ୍?,What is the fee for a blood test?
ହସ୍ପିଟାଲର ଫାର୍ମାସି କେତେ ବେଳେ ଖୋଲା ଥାଏ?,What are the pharmacy working hours in the hospital?
ଏମ୍ବୁଲାନ୍ସ ସେବା କିପରି ଡାକିବି?,How to call the ambulance service?
ହସ୍ପିଟାଲରେ ଫ୍ରି ଔଷଧ ମିଳେ କି?,Does the hospital provide free medicines?
ଅପରେସନ୍ ପାଇଁ ପ୍ରି-ଚେକଅପ୍ କେବେ କରାଯାଏ?,When is the pre-checkup done for surgery?
ରୋଗୀଙ୍କୁ ଦେଖିବାର visiting hours କେତେ?,What are the visiting hours for patients?
ବିଶେଷଜ୍ଞ ଡାକ୍ତର କେବେ ଆସନ୍ତି?,When does the specialist doctor visit?
ସ୍କୁଲ୍‌ରେ ଭର୍ତ୍ତି ପାଇଁ କେଉଁ ଡକ୍ୟୁମେଣ୍ଟ ଦରକାର?,What documents are required for school admission?
ସ୍କୁଲରେ କେବେ ସମାରୋହ ହେବ?,When will the school function be held?
ମିଡ୍-ଡେ ମିଲ୍ କାର୍ଯ୍ୟକ୍ରମ କେମିତି ଚାଲିଛି?,How is the mid-day meal program running?
ପ୍ରଥମ ସେମେଷ୍ଟର ପରୀକ୍ଷା କେବେ ଆରମ୍ଭ ହେବ?,When will the first semester exam start?
ସ୍କୁଲ୍‌ରେ କେଉଁ co-curricular କାର୍ଯ୍ୟକ୍ରମ ଅଛି?,What co-curricular activities are available in the school?
ସ୍କୁଲରେ ସ୍କଲାରଶିପ୍ ପାଇଁ କିପରି ଆବେଦନ କରିବି?,How to apply for a scholarship in school?
ସ୍କୁଲ୍ uniform କେଉଁଠାରୁ କିଣିବି?,Where can I buy the school uniform?
ସ୍କୁଲରେ library ସମୟ କେତେ?,What are the library hours in school?
ସ୍କୁଲ୍‌ରେ sports day କେବେ ହେବ?,When will the sports day be held in school?
